batch_number,task_count,timestamp,node_id,node_name,cpu_utilization_pct,memory_utilization_pct,gpu_utilization_pct,cpu_used_mc,cpu_total_mc,memory_used_bytes,memory_total_bytes,gpu_used,gpu_total
1,100,2026-01-12T04:10:03.207894663Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,98.36,62.22,33.33,47211,48000,64139296768,103079215104,2,6
1,100,2026-01-12T04:10:03.20986065Z,node.Y7enFAt94fak68tn2EsaYM,node.2,92.66,59.88,50.00,44477,48000,61724426240,103079215104,3,6
2,200,2026-01-12T04:10:09.303485063Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,98.20,64.52,0.00,47136,48000,66510127104,103079215104,0,6
2,200,2026-01-12T04:10:09.30541667Z,node.Y7enFAt94fak68tn2EsaYM,node.2,88.34,58.03,33.33,42401,48000,59821260800,103079215104,2,6
3,300,2026-01-12T04:10:15.543980645Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.58,66.64,16.67,46358,48000,68694310912,103079215104,1,6
3,300,2026-01-12T04:10:15.545938832Z,node.Y7enFAt94fak68tn2EsaYM,node.2,86.13,54.20,16.67,41342,48000,55867080704,103079215104,1,6
4,400,2026-01-12T04:10:21.204194166Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.54,65.52,0.00,45857,48000,67534585856,103079215104,0,6
4,400,2026-01-12T04:10:21.206106094Z,node.Y7enFAt94fak68tn2EsaYM,node.2,96.74,58.98,16.67,46434,48000,60791193600,103079215104,1,6
5,500,2026-01-12T04:10:26.153847115Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,98.03,65.21,33.33,47056,48000,67221061632,103079215104,2,6
5,500,2026-01-12T04:10:26.158139315Z,node.Y7enFAt94fak68tn2EsaYM,node.2,80.97,47.58,16.67,38868,48000,49042948096,103079215104,1,6
6,600,2026-01-12T04:10:31.808005925Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.62,59.41,33.33,45897,48000,61234741248,103079215104,2,6
6,600,2026-01-12T04:10:31.809740615Z,node.Y7enFAt94fak68tn2EsaYM,node.2,87.52,59.05,0.00,42011,48000,60865642496,103079215104,0,6
7,700,2026-01-12T04:10:37.05825694Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,89.09,59.30,16.67,42761,48000,61128835072,103079215104,1,6
