id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
0,medium,success,,false,2026-01-12T04:09:56.702825408Z,2026-01-12T04:09:56.702827008Z,2026-01-12T04:09:56.704445299Z,2026-01-12T04:09:56.704445609Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
1,medium,success,,false,2026-01-12T04:09:56.753139447Z,2026-01-12T04:09:56.753140647Z,2026-01-12T04:09:56.754752938Z,2026-01-12T04:09:56.754753148Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
2,medium,success,,false,2026-01-12T04:09:56.802934313Z,2026-01-12T04:09:56.802935493Z,2026-01-12T04:09:56.804461355Z,2026-01-12T04:09:56.804461635Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
3,small,success,,false,2026-01-12T04:09:56.852601219Z,2026-01-12T04:09:56.852602539Z,2026-01-12T04:09:56.854377308Z,2026-01-12T04:09:56.854377628Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
4,medium,success,,false,2026-01-12T04:09:56.902741081Z,2026-01-12T04:09:56.902742261Z,2026-01-12T04:09:56.904052795Z,2026-01-12T04:09:56.904052995Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
5,medium,success,,false,2026-01-12T04:09:56.952109901Z,2026-01-12T04:09:56.952111351Z,2026-01-12T04:09:56.953275717Z,2026-01-12T04:09:56.953276017Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
6,medium,success,,false,2026-01-12T04:09:57.002779186Z,2026-01-12T04:09:57.002780376Z,2026-01-12T04:09:57.004058481Z,2026-01-12T04:09:57.004058681Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
7,large,success,,false,2026-01-12T04:09:57.052042148Z,2026-01-12T04:09:57.052043528Z,2026-01-12T04:09:57.053349132Z,2026-01-12T04:09:57.053349412Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
8,medium,success,,false,2026-01-12T04:09:57.102853161Z,2026-01-12T04:09:57.102854451Z,2026-01-12T04:09:57.104013868Z,2026-01-12T04:09:57.104014088Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
9,large,success,,false,2026-01-12T04:09:57.1523546Z,2026-01-12T04:09:57.15235584Z,2026-01-12T04:09:57.153853123Z,2026-01-12T04:09:57.153853333Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
10,medium,success,,false,2026-01-12T04:09:57.203111524Z,2026-01-12T04:09:57.203112774Z,2026-01-12T04:09:57.204278831Z,2026-01-12T04:09:57.204279051Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
11,large,success,,false,2026-01-12T04:09:57.252484565Z,2026-01-12T04:09:57.252485685Z,2026-01-12T04:09:57.253637181Z,2026-01-12T04:09:57.253637381Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
12,small,success,,false,2026-01-12T04:09:57.302975302Z,2026-01-12T04:09:57.302976702Z,2026-01-12T04:09:57.304277867Z,2026-01-12T04:09:57.304278067Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
13,medium,success,,false,2026-01-12T04:09:57.35254285Z,2026-01-12T04:09:57.3525439Z,2026-01-12T04:09:57.353616248Z,2026-01-12T04:09:57.353616458Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
14,medium,success,,false,2026-01-12T04:09:57.402940408Z,2026-01-12T04:09:57.402942358Z,2026-01-12T04:09:57.403866858Z,2026-01-12T04:09:57.403867058Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
15,medium,success,,false,2026-01-12T04:09:57.452745164Z,2026-01-12T04:09:57.452746284Z,2026-01-12T04:09:57.453695553Z,2026-01-12T04:09:57.453695983Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
16,small,success,,false,2026-01-12T04:09:57.502714397Z,2026-01-12T04:09:57.502715627Z,2026-01-12T04:09:57.503625846Z,2026-01-12T04:09:57.503626066Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
17,small,success,,false,2026-01-12T04:09:57.552492103Z,2026-01-12T04:09:57.552493333Z,2026-01-12T04:09:57.553423272Z,2026-01-12T04:09:57.553423482Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
18,medium,success,,false,2026-01-12T04:09:57.602218959Z,2026-01-12T04:09:57.602220259Z,2026-01-12T04:09:57.603217198Z,2026-01-12T04:09:57.603217408Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
19,medium,success,,false,2026-01-12T04:09:57.653022573Z,2026-01-12T04:09:57.653024013Z,2026-01-12T04:09:57.654059321Z,2026-01-12T04:09:57.654059521Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
20,medium,success,,false,2026-01-12T04:09:57.703086705Z,2026-01-12T04:09:57.703088775Z,2026-01-12T04:09:57.70439102Z,2026-01-12T04:09:57.70439123Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
21,medium,success,,false,2026-01-12T04:09:57.752613374Z,2026-01-12T04:09:57.752614554Z,2026-01-12T04:09:57.754014117Z,2026-01-12T04:09:57.754014327Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
22,medium,success,,false,2026-01-12T04:09:57.803096151Z,2026-01-12T04:09:57.803097561Z,2026-01-12T04:09:57.804324947Z,2026-01-12T04:09:57.804325317Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
23,medium,success,,false,2026-01-12T04:09:57.852926746Z,2026-01-12T04:09:57.852927846Z,2026-01-12T04:09:57.859346361Z,2026-01-12T04:09:57.859346861Z,6,6,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
24,small,success,,false,2026-01-12T04:09:57.902981199Z,2026-01-12T04:09:57.902982309Z,2026-01-12T04:09:57.904401972Z,2026-01-12T04:09:57.904402502Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
25,medium,success,,false,2026-01-12T04:09:57.952403038Z,2026-01-12T04:09:57.952406068Z,2026-01-12T04:09:57.958304149Z,2026-01-12T04:09:57.958304879Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
26,medium,success,,false,2026-01-12T04:09:58.002110585Z,2026-01-12T04:09:58.002112105Z,2026-01-12T04:09:58.007573521Z,2026-01-12T04:09:58.007574271Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
27,small,success,,false,2026-01-12T04:09:58.052447784Z,2026-01-12T04:09:58.052449334Z,2026-01-12T04:09:58.053570321Z,2026-01-12T04:09:58.053570651Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
28,medium,success,,false,2026-01-12T04:09:58.102691884Z,2026-01-12T04:09:58.102693194Z,2026-01-12T04:09:58.110364224Z,2026-01-12T04:09:58.110364714Z,7,7,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
29,large,success,,false,2026-01-12T04:09:58.152144584Z,2026-01-12T04:09:58.152145914Z,2026-01-12T04:09:58.156606532Z,2026-01-12T04:09:58.156607012Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
30,medium,success,,false,2026-01-12T04:09:58.202996957Z,2026-01-12T04:09:58.202998207Z,2026-01-12T04:09:58.207440585Z,2026-01-12T04:09:58.207441205Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
31,small,success,,false,2026-01-12T04:09:58.252413717Z,2026-01-12T04:09:58.252415117Z,2026-01-12T04:09:58.25642904Z,2026-01-12T04:09:58.25642954Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
32,medium,success,,false,2026-01-12T04:09:58.302830546Z,2026-01-12T04:09:58.302831976Z,2026-01-12T04:09:58.307291693Z,2026-01-12T04:09:58.307292323Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
33,medium,success,,false,2026-01-12T04:09:58.352484913Z,2026-01-12T04:09:58.352486333Z,2026-01-12T04:09:58.356781792Z,2026-01-12T04:09:58.356782272Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
34,medium,success,,false,2026-01-12T04:09:58.402582995Z,2026-01-12T04:09:58.402585095Z,2026-01-12T04:09:58.41152971Z,2026-01-12T04:09:58.41153106Z,8,8,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
35,medium,success,,false,2026-01-12T04:09:58.452228432Z,2026-01-12T04:09:58.452231662Z,2026-01-12T04:09:58.457739087Z,2026-01-12T04:09:58.457739817Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
36,medium,success,,false,2026-01-12T04:09:58.503026906Z,2026-01-12T04:09:58.503028966Z,2026-01-12T04:09:58.50775878Z,2026-01-12T04:09:58.50775927Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
37,medium,success,,false,2026-01-12T04:09:58.553154188Z,2026-01-12T04:09:58.553155848Z,2026-01-12T04:09:58.558233618Z,2026-01-12T04:09:58.558234538Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
38,medium,success,,false,2026-01-12T04:09:58.602081293Z,2026-01-12T04:09:58.602082483Z,2026-01-12T04:09:58.60746353Z,2026-01-12T04:09:58.60746425Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
39,medium,success,,false,2026-01-12T04:09:58.652998536Z,2026-01-12T04:09:58.653000496Z,2026-01-12T04:09:58.661938971Z,2026-01-12T04:09:58.661939601Z,8,8,node.Y7enFAt94fak68tn2EsaYM,provider.oSYrRhAtHo5JiCJnjdW9bv,true
40,medium,success,,false,2026-01-12T04:09:58.702828801Z,2026-01-12T04:09:58.702830241Z,2026-01-12T04:09:58.707246479Z,2026-01-12T04:09:58.707247169Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
