id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
0,medium,success,,false,2026-01-12T04:14:44.748601048Z,2026-01-12T04:14:44.748603188Z,2026-01-12T04:14:44.750462037Z,2026-01-12T04:14:44.750462237Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
1,medium,success,,false,2026-01-12T04:14:44.798760506Z,2026-01-12T04:14:44.798762706Z,2026-01-12T04:14:44.800020872Z,2026-01-12T04:14:44.800021072Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
2,medium,success,,false,2026-01-12T04:14:44.848047033Z,2026-01-12T04:14:44.848048173Z,2026-01-12T04:14:44.849117561Z,2026-01-12T04:14:44.849118471Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
3,medium,success,,false,2026-01-12T04:14:44.89825068Z,2026-01-12T04:14:44.89825224Z,2026-01-12T04:14:44.899614695Z,2026-01-12T04:14:44.899614905Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
4,medium,success,,false,2026-01-12T04:14:44.948904182Z,2026-01-12T04:14:44.948905462Z,2026-01-12T04:14:44.950069669Z,2026-01-12T04:14:44.950069869Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
5,medium,success,,false,2026-01-12T04:14:44.998304648Z,2026-01-12T04:14:44.998305798Z,2026-01-12T04:14:44.999483595Z,2026-01-12T04:14:44.999483805Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
6,medium,success,,false,2026-01-12T04:14:45.048845861Z,2026-01-12T04:14:45.048847581Z,2026-01-12T04:14:45.050130817Z,2026-01-12T04:14:45.050131017Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
7,medium,success,,false,2026-01-12T04:14:45.098329367Z,2026-01-12T04:14:45.098330977Z,2026-01-12T04:14:45.099367705Z,2026-01-12T04:14:45.099367995Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
8,medium,success,,false,2026-01-12T04:14:45.148324016Z,2026-01-12T04:14:45.148325146Z,2026-01-12T04:14:45.149457963Z,2026-01-12T04:14:45.149458173Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
9,medium,success,,false,2026-01-12T04:14:45.198662152Z,2026-01-12T04:14:45.198663772Z,2026-01-12T04:14:45.199879598Z,2026-01-12T04:14:45.199879808Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
10,large,success,,false,2026-01-12T04:14:45.248148147Z,2026-01-12T04:14:45.248149347Z,2026-01-12T04:14:45.249379043Z,2026-01-12T04:14:45.249379243Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
11,small,success,,false,2026-01-12T04:14:45.298653921Z,2026-01-12T04:14:45.298654921Z,2026-01-12T04:14:45.299862017Z,2026-01-12T04:14:45.299862217Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
12,medium,success,,false,2026-01-12T04:14:45.348253625Z,2026-01-12T04:14:45.348255075Z,2026-01-12T04:14:45.349423201Z,2026-01-12T04:14:45.349423381Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
13,medium,success,,false,2026-01-12T04:14:45.398857867Z,2026-01-12T04:14:45.398859047Z,2026-01-12T04:14:45.400088073Z,2026-01-12T04:14:45.400088283Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
14,medium,success,,false,2026-01-12T04:14:45.448402672Z,2026-01-12T04:14:45.448404032Z,2026-01-12T04:14:45.449607138Z,2026-01-12T04:14:45.449607338Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
15,large,success,,false,2026-01-12T04:14:45.498870366Z,2026-01-12T04:14:45.498874976Z,2026-01-12T04:14:45.500055643Z,2026-01-12T04:14:45.500055843Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
16,medium,success,,false,2026-01-12T04:14:45.547991105Z,2026-01-12T04:14:45.547992235Z,2026-01-12T04:14:45.54935461Z,2026-01-12T04:14:45.54935509Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
17,large,success,,false,2026-01-12T04:14:45.598764956Z,2026-01-12T04:14:45.598766816Z,2026-01-12T04:14:45.599851084Z,2026-01-12T04:14:45.599851284Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
18,small,success,,false,2026-01-12T04:14:45.648825525Z,2026-01-12T04:14:45.648827695Z,2026-01-12T04:14:45.649959702Z,2026-01-12T04:14:45.649959912Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
19,medium,success,,false,2026-01-12T04:14:45.698952872Z,2026-01-12T04:14:45.698954222Z,2026-01-12T04:14:45.700156639Z,2026-01-12T04:14:45.700156849Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
20,medium,success,,false,2026-01-12T04:14:45.748300839Z,2026-01-12T04:14:45.748302309Z,2026-01-12T04:14:45.749548935Z,2026-01-12T04:14:45.749549135Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
21,medium,success,,false,2026-01-12T04:14:45.798057391Z,2026-01-12T04:14:45.798058521Z,2026-01-12T04:14:45.7991043Z,2026-01-12T04:14:45.79910451Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
22,medium,success,,false,2026-01-12T04:14:45.848465056Z,2026-01-12T04:14:45.848467846Z,2026-01-12T04:14:45.859039737Z,2026-01-12T04:14:45.859040587Z,10,10,node.TDxYKFGxthuKRirkDjWjQa,provider.CHHwFtrgwpzbn46vgM4Mh2,true
23,large,success,,false,2026-01-12T04:14:45.898517615Z,2026-01-12T04:14:45.898520935Z,2026-01-12T04:14:45.904861694Z,2026-01-12T04:14:45.904862204Z,6,6,node.TDxYKFGxthuKRirkDjWjQa,provider.XT7hLNcHss3Q8KY27bS3FD,true
24,medium,success,,false,2026-01-12T04:14:45.948667013Z,2026-01-12T04:14:45.948669503Z,2026-01-12T04:14:45.954655826Z,2026-01-12T04:14:45.954656546Z,5,5,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
25,medium,success,,false,2026-01-12T04:14:45.998518064Z,2026-01-12T04:14:45.998520144Z,2026-01-12T04:14:46.003998912Z,2026-01-12T04:14:46.003999712Z,5,5,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
26,small,success,,false,2026-01-12T04:14:46.048326725Z,2026-01-12T04:14:46.048328375Z,2026-01-12T04:14:46.049535112Z,2026-01-12T04:14:46.049535312Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
27,medium,success,,false,2026-01-12T04:14:46.09876475Z,2026-01-12T04:14:46.09876592Z,2026-01-12T04:14:46.103670625Z,2026-01-12T04:14:46.103671345Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
28,medium,success,,false,2026-01-12T04:14:46.148489152Z,2026-01-12T04:14:46.148490422Z,2026-01-12T04:14:46.156663901Z,2026-01-12T04:14:46.156664381Z,8,8,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
29,medium,success,,false,2026-01-12T04:14:46.198572981Z,2026-01-12T04:14:46.198574241Z,2026-01-12T04:14:46.203443016Z,2026-01-12T04:14:46.203443726Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
30,small,success,,false,2026-01-12T04:14:46.248382822Z,2026-01-12T04:14:46.248384052Z,2026-01-12T04:14:46.249368231Z,2026-01-12T04:14:46.249368511Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
31,medium,success,,false,2026-01-12T04:14:46.298375002Z,2026-01-12T04:14:46.298376462Z,2026-01-12T04:14:46.302587535Z,2026-01-12T04:14:46.302588015Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
32,large,success,,false,2026-01-12T04:14:46.348832506Z,2026-01-12T04:14:46.348835946Z,2026-01-12T04:14:46.353432025Z,2026-01-12T04:14:46.353432555Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.R36sXmMKqDDKVwnqVcq4tg,true
33,medium,success,,false,2026-01-12T04:14:46.398702837Z,2026-01-12T04:14:46.398705197Z,2026-01-12T04:14:46.402476545Z,2026-01-12T04:14:46.402477445Z,3,3,node.TDxYKFGxthuKRirkDjWjQa,provider.CHHwFtrgwpzbn46vgM4Mh2,true
34,medium,success,,false,2026-01-12T04:14:46.448664377Z,2026-01-12T04:14:46.448665597Z,2026-01-12T04:14:46.453562872Z,2026-01-12T04:14:46.453563332Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.XT7hLNcHss3Q8KY27bS3FD,true
35,medium,success,,false,2026-01-12T04:14:46.49835207Z,2026-01-12T04:14:46.49835625Z,2026-01-12T04:14:46.502609662Z,2026-01-12T04:14:46.502610202Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.CHHwFtrgwpzbn46vgM4Mh2,true
36,medium,success,,false,2026-01-12T04:14:46.548813684Z,2026-01-12T04:14:46.548816044Z,2026-01-12T04:14:46.553430513Z,2026-01-12T04:14:46.553431003Z,4,4,node.TDxYKFGxthuKRirkDjWjQa,provider.CHHwFtrgwpzbn46vgM4Mh2,true
37,small,success,,false,2026-01-12T04:14:46.598541167Z,2026-01-12T04:14:46.598542357Z,2026-01-12T04:14:46.599689974Z,2026-01-12T04:14:46.599690184Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
38,large,success,,false,2026-01-12T04:14:46.648154501Z,2026-01-12T04:14:46.648157301Z,2026-01-12T04:14:46.657861312Z,2026-01-12T04:14:46.657862062Z,9,9,node.TDxYKFGxthuKRirkDjWjQa,provider.CHHwFtrgwpzbn46vgM4Mh2,true
