id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
0,small,success,,false,2026-01-12T00:18:00.853028255Z,2026-01-12T00:18:00.853031305Z,2026-01-12T00:18:00.855113759Z,2026-01-12T00:18:00.855113979Z,2,2,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
1,small,success,,false,2026-01-12T00:18:00.902896284Z,2026-01-12T00:18:00.902897524Z,2026-01-12T00:18:00.904097715Z,2026-01-12T00:18:00.904097925Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
2,medium,success,,false,2026-01-12T00:18:00.952834052Z,2026-01-12T00:18:00.952835542Z,2026-01-12T00:18:00.954133983Z,2026-01-12T00:18:00.954134193Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
3,large,success,,false,2026-01-12T00:18:01.003336636Z,2026-01-12T00:18:01.003337976Z,2026-01-12T00:18:01.004439968Z,2026-01-12T00:18:01.004440178Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
4,medium,success,,false,2026-01-12T00:18:01.0525387Z,2026-01-12T00:18:01.05254017Z,2026-01-12T00:18:01.05391396Z,2026-01-12T00:18:01.05391443Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
5,small,success,,false,2026-01-12T00:18:01.102785716Z,2026-01-12T00:18:01.102786736Z,2026-01-12T00:18:01.103857198Z,2026-01-12T00:18:01.103857408Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
6,medium,success,,false,2026-01-12T00:18:01.152829923Z,2026-01-12T00:18:01.152831043Z,2026-01-12T00:18:01.154378822Z,2026-01-12T00:18:01.154379032Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
7,medium,success,,false,2026-01-12T00:18:01.20286021Z,2026-01-12T00:18:01.20286141Z,2026-01-12T00:18:01.204136881Z,2026-01-12T00:18:01.204137101Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
8,small,success,,false,2026-01-12T00:18:01.252452981Z,2026-01-12T00:18:01.252454731Z,2026-01-12T00:18:01.253772192Z,2026-01-12T00:18:01.253772402Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
9,large,success,,false,2026-01-12T00:18:01.302837676Z,2026-01-12T00:18:01.302838976Z,2026-01-12T00:18:01.303917828Z,2026-01-12T00:18:01.303918038Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
10,small,success,,false,2026-01-12T00:18:01.352701035Z,2026-01-12T00:18:01.352702495Z,2026-01-12T00:18:01.354026005Z,2026-01-12T00:18:01.354026215Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
11,small,success,,false,2026-01-12T00:18:01.402312715Z,2026-01-12T00:18:01.402314035Z,2026-01-12T00:18:01.403658926Z,2026-01-12T00:18:01.403659136Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
12,medium,success,,false,2026-01-12T00:18:01.452516982Z,2026-01-12T00:18:01.452518252Z,2026-01-12T00:18:01.453691573Z,2026-01-12T00:18:01.453691783Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
13,medium,success,,false,2026-01-12T00:18:01.502581219Z,2026-01-12T00:18:01.502582409Z,2026-01-12T00:18:01.503617872Z,2026-01-12T00:18:01.503618082Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
14,medium,success,,false,2026-01-12T00:18:01.553009744Z,2026-01-12T00:18:01.553011104Z,2026-01-12T00:18:01.554181686Z,2026-01-12T00:18:01.554181906Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
15,medium,success,,false,2026-01-12T00:18:01.602920372Z,2026-01-12T00:18:01.602921612Z,2026-01-12T00:18:01.60462213Z,2026-01-12T00:18:01.60462234Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
16,medium,success,,false,2026-01-12T00:18:01.652827201Z,2026-01-12T00:18:01.652828221Z,2026-01-12T00:18:01.653882623Z,2026-01-12T00:18:01.653882833Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
17,medium,success,,false,2026-01-12T00:18:01.702535511Z,2026-01-12T00:18:01.70253701Z,2026-01-12T00:18:01.703649942Z,2026-01-12T00:18:01.703650152Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
18,large,success,,false,2026-01-12T00:18:01.752528108Z,2026-01-12T00:18:01.752529548Z,2026-01-12T00:18:01.75363709Z,2026-01-12T00:18:01.7536373Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
19,small,success,,false,2026-01-12T00:18:01.802613136Z,2026-01-12T00:18:01.802614316Z,2026-01-12T00:18:01.803724338Z,2026-01-12T00:18:01.803724548Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
20,medium,success,,false,2026-01-12T00:18:01.85316053Z,2026-01-12T00:18:01.853161719Z,2026-01-12T00:18:01.854159702Z,2026-01-12T00:18:01.854159912Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
21,medium,success,,false,2026-01-12T00:18:01.90285757Z,2026-01-12T00:18:01.90285906Z,2026-01-12T00:18:01.904429688Z,2026-01-12T00:18:01.904429898Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
22,medium,success,,false,2026-01-12T00:18:01.952920297Z,2026-01-12T00:18:01.952921497Z,2026-01-12T00:18:01.954627434Z,2026-01-12T00:18:01.954627924Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
23,medium,success,,false,2026-01-12T00:18:02.002863745Z,2026-01-12T00:18:02.002865105Z,2026-01-12T00:18:02.004730482Z,2026-01-12T00:18:02.004732492Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
24,medium,success,,false,2026-01-12T00:18:02.052565475Z,2026-01-12T00:18:02.052567275Z,2026-01-12T00:18:02.053901175Z,2026-01-12T00:18:02.053901385Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
25,small,success,,false,2026-01-12T00:18:02.102644692Z,2026-01-12T00:18:02.102647512Z,2026-01-12T00:18:02.103923283Z,2026-01-12T00:18:02.103923493Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
26,medium,failed,local deployment failed: failed to find available provider: no available provider found that satisfies the resource requirements; peer delegation failed: no valid delegation proposals generated from discovery result,false,2026-01-12T00:18:02.152548111Z,2026-01-12T00:18:02.152550051Z,2026-01-12T00:18:23.413782626Z,0001-01-01T00:00:00Z,21261,-9223372036854,,,false
27,small,success,,false,2026-01-12T00:18:02.20232529Z,2026-01-12T00:18:02.20232727Z,2026-01-12T00:18:02.20370136Z,2026-01-12T00:18:02.20370186Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
28,medium,success,,false,2026-01-12T00:18:02.253148392Z,2026-01-12T00:18:02.253150272Z,2026-01-12T00:18:14.094713634Z,2026-01-12T00:18:14.094714144Z,11841,11841,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
29,medium,success,,false,2026-01-12T00:18:02.30308329Z,2026-01-12T00:18:02.3030849Z,2026-01-12T00:18:26.783235239Z,2026-01-12T00:18:26.783235779Z,24480,24480,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
30,large,failed,local deployment failed: failed to find available provider: no available provider found that satisfies the resource requirements; peer delegation failed: query resources via discovery service failed: no available nodes found,false,2026-01-12T00:18:02.352910109Z,2026-01-12T00:18:02.352911339Z,2026-01-12T00:18:26.613149886Z,0001-01-01T00:00:00Z,24260,-9223372036854,,,false
31,medium,failed,local deployment failed: failed to find available provider: no available provider found that satisfies the resource requirements; peer delegation failed: query resources via discovery service failed: no available nodes found,false,2026-01-12T00:18:02.402686678Z,2026-01-12T00:18:02.402688848Z,2026-01-12T00:18:25.77788333Z,0001-01-01T00:00:00Z,23375,-9223372036854,,,false
32,medium,success,,false,2026-01-12T00:18:02.452489258Z,2026-01-12T00:18:02.452490458Z,2026-01-12T00:18:17.422526974Z,2026-01-12T00:18:17.422527484Z,14970,14970,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
33,medium,success,,false,2026-01-12T00:18:02.502653124Z,2026-01-12T00:18:02.502654364Z,2026-01-12T00:18:12.782889255Z,2026-01-12T00:18:12.782889765Z,10280,10280,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
34,medium,success,,false,2026-01-12T00:18:02.553292587Z,2026-01-12T00:18:02.553293797Z,2026-01-12T00:18:17.136431892Z,2026-01-12T00:18:17.136432112Z,14583,14583,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
35,medium,failed,local deployment failed: failed to find available provider: no available provider found that satisfies the resource requirements; peer delegation failed: no valid delegation proposals generated from discovery result,false,2026-01-12T00:18:02.602486391Z,2026-01-12T00:18:02.602487411Z,2026-01-12T00:18:22.527340778Z,0001-01-01T00:00:00Z,19924,-9223372036854,,,false
36,medium,success,,false,2026-01-12T00:18:02.652439339Z,2026-01-12T00:18:02.652440769Z,2026-01-12T00:18:02.654900351Z,2026-01-12T00:18:02.654900601Z,2,2,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.KucriqFpEY6m427pfEK2r6,false
37,medium,failed,local deployment failed: failed to find available provider: no available provider found that satisfies the resource requirements; peer delegation failed: no valid delegation proposals generated from discovery result,false,2026-01-12T00:18:02.702291858Z,2026-01-12T00:18:02.702293338Z,2026-01-12T00:18:17.088903257Z,0001-01-01T00:00:00Z,14386,-9223372036854,,,false
