batch_number,task_count,timestamp,node_id,node_name,cpu_utilization_pct,memory_utilization_pct,gpu_utilization_pct,cpu_used_mc,cpu_total_mc,memory_used_bytes,memory_total_bytes,gpu_used,gpu_total
1,100,2026-01-12T00:18:10.203616438Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.85,63.42,0.00,46010,48000,65374519296,103079215104,0,6
2,200,2026-01-12T00:18:19.556022848Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.25,65.26,0.00,45719,48000,67273490432,103079215104,0,6
3,300,2026-01-12T00:18:26.053580575Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.34,63.49,0.00,46723,48000,65440579584,103079215104,0,6
4,400,2026-01-12T00:18:32.303369519Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,91.88,64.18,33.33,44100,48000,66154659840,103079215104,2,6
5,500,2026-01-12T00:18:37.87109802Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.72,64.97,33.33,46427,48000,66967306240,103079215104,2,6
6,600,2026-01-12T00:18:42.771854518Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.67,67.52,16.67,46404,48000,69602377728,103079215104,1,6
7,700,2026-01-12T00:18:47.303607034Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,94.31,65.98,16.67,45267,48000,68007493632,103079215104,1,6
8,800,2026-01-12T00:18:52.724504748Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.75,62.42,0.00,46921,48000,64345866240,103079215104,0,6
9,900,2026-01-12T00:18:58.493952066Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,98.57,65.20,0.00,47313,48000,67208478720,103079215104,0,6
10,1000,2026-01-12T00:19:03.411167969Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.46,59.65,16.67,46781,48000,61490593792,103079215104,1,6
11,1100,2026-01-12T00:19:09.068690564Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.73,63.53,16.67,46912,48000,65481474048,103079215104,1,6
12,1200,2026-01-12T00:19:13.691958617Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.99,61.81,0.00,46553,48000,63709380608,103079215104,0,6
13,1300,2026-01-12T00:19:18.553570595Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.54,63.20,0.00,46341,48000,65145929728,103079215104,0,6
14,1400,2026-01-12T00:19:23.055398076Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.81,61.87,16.67,46950,48000,63770198016,103079215104,1,6
15,1500,2026-01-12T00:19:28.054057071Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.56,64.48,16.67,45867,48000,66462941184,103079215104,1,6
16,1600,2026-01-12T00:19:32.674853776Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.03,58.73,33.33,45613,48000,60540583936,103079215104,2,6
17,1700,2026-01-12T00:19:38.756963088Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,99.06,65.11,16.67,47550,48000,67115155456,103079215104,1,6
18,1800,2026-01-12T00:19:45.376543183Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,95.26,60.06,33.33,45725,48000,61908975616,103079215104,2,6
19,1900,2026-01-12T00:19:52.180821966Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,98.49,61.71,16.67,47276,48000,63608717312,103079215104,1,6
20,2000,2026-01-12T00:20:05.539412869Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,53.33,34.26,33.33,25598,48000,35313942528,103079215104,2,6
