batch_number,task_count,timestamp,node_id,node_name,cpu_utilization_pct,memory_utilization_pct,gpu_utilization_pct,cpu_used_mc,cpu_total_mc,memory_used_bytes,memory_total_bytes,gpu_used,gpu_total
1,100,2026-01-12T04:21:28.236455943Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.29,63.50,33.33,46697,48000,65451065344,103079215104,2,6
1,100,2026-01-12T04:21:28.238842757Z,node.Y7enFAt94fak68tn2EsaYM,node.2,95.75,60.50,66.67,45958,48000,62360911872,103079215104,4,6
1,100,2026-01-12T04:21:28.240585708Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,81.11,49.72,66.67,38933,48000,51248103424,103079215104,4,6
1,100,2026-01-12T04:21:28.24220437Z,node.JvECnV95brjeA43d7UkKis,node.4,8.63,5.71,16.67,4141,48000,5881462784,103079215104,1,6
2,200,2026-01-12T04:21:33.387161887Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,92.98,57.49,0.00,44630,48000,59261321216,103079215104,0,6
2,200,2026-01-12T04:21:33.389000427Z,node.Y7enFAt94fak68tn2EsaYM,node.2,85.03,52.03,16.67,40813,48000,53632565248,103079215104,1,6
2,200,2026-01-12T04:21:33.390754928Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,75.70,46.49,83.33,36338,48000,47924117504,103079215104,5,6
2,200,2026-01-12T04:21:33.392373991Z,node.JvECnV95brjeA43d7UkKis,node.4,63.25,36.18,83.33,30362,48000,37295751168,103079215104,5,6
3,300,2026-01-12T04:21:38.382389101Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,94.78,63.52,33.33,45495,48000,65479376896,103079215104,2,6
3,300,2026-01-12T04:21:38.384144283Z,node.JvECnV95brjeA43d7UkKis,node.4,51.89,31.95,66.67,24905,48000,32938917888,103079215104,4,6
3,300,2026-01-12T04:21:38.385757485Z,node.Y7enFAt94fak68tn2EsaYM,node.2,96.08,61.73,0.00,46118,48000,63629688832,103079215104,0,6
3,300,2026-01-12T04:21:38.387488286Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,57.25,33.68,33.33,27479,48000,34716254208,103079215104,2,6
4,400,2026-01-12T04:21:43.228880871Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,88.50,59.14,16.67,42478,48000,60960014336,103079215104,1,6
4,400,2026-01-12T04:21:43.230688791Z,node.Y7enFAt94fak68tn2EsaYM,node.2,97.16,56.82,50.00,46636,48000,58566115328,103079215104,3,6
4,400,2026-01-12T04:21:43.232307554Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,84.35,50.72,50.00,40490,48000,52286193664,103079215104,3,6
4,400,2026-01-12T04:21:43.234149744Z,node.JvECnV95brjeA43d7UkKis,node.4,48.57,31.46,83.33,23313,48000,32433504256,103079215104,5,6
5,500,2026-01-12T04:21:48.228420298Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,86.70,56.78,33.33,41615,48000,58525220864,103079215104,2,6
5,500,2026-01-12T04:21:48.231241037Z,node.JvECnV95brjeA43d7UkKis,node.4,85.84,52.98,83.33,41202,48000,54614032384,103079215104,5,6
5,500,2026-01-12T04:21:48.233174796Z,node.Y7enFAt94fak68tn2EsaYM,node.2,86.21,54.25,33.33,41379,48000,55920558080,103079215104,2,6
5,500,2026-01-12T04:21:48.247511621Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,65.24,40.53,66.67,31317,48000,41779462144,103079215104,4,6
6,600,2026-01-12T04:21:53.288160449Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,91.85,55.47,50.00,44090,48000,57176752128,103079215104,3,6
6,600,2026-01-12T04:21:53.289781981Z,node.Y7enFAt94fak68tn2EsaYM,node.2,85.19,51.30,33.33,40891,48000,52879687680,103079215104,2,6
6,600,2026-01-12T04:21:53.291275105Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,91.72,55.21,83.33,44028,48000,56914608128,103079215104,5,6
6,600,2026-01-12T04:21:53.293077656Z,node.JvECnV95brjeA43d7UkKis,node.4,71.48,38.09,100.00,34309,48000,39263928320,103079215104,6,6
7,700,2026-01-12T04:21:58.528108835Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,81.19,54.63,0.00,38970,48000,56307482624,103079215104,0,6
7,700,2026-01-12T04:21:58.530220183Z,node.Y7enFAt94fak68tn2EsaYM,node.2,90.17,58.20,50.00,43280,48000,59994275840,103079215104,3,6
7,700,2026-01-12T04:21:58.534268439Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,77.88,45.99,83.33,37382,48000,47405072384,103079215104,5,6
7,700,2026-01-12T04:21:58.535938901Z,node.JvECnV95brjeA43d7UkKis,node.4,56.27,33.15,100.00,27008,48000,34174140416,103079215104,6,6
8,800,2026-01-12T04:22:03.632701421Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.30,65.33,33.33,46705,48000,67341647872,103079215104,2,6
8,800,2026-01-12T04:22:03.634846407Z,node.Y7enFAt94fak68tn2EsaYM,node.2,93.59,59.39,33.33,44925,48000,61214818304,103079215104,2,6
8,800,2026-01-12T04:22:03.636621828Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,84.95,53.23,83.33,40775,48000,54871982080,103079215104,5,6
8,800,2026-01-12T04:22:03.638980573Z,node.JvECnV95brjeA43d7UkKis,node.4,59.24,38.12,100.00,28436,48000,39295385600,103079215104,6,6
9,900,2026-01-12T04:22:08.831720052Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.36,62.41,0.00,46251,48000,64335380480,103079215104,0,6
9,900,2026-01-12T04:22:08.83374366Z,node.Y7enFAt94fak68tn2EsaYM,node.2,98.32,60.89,50.00,47194,48000,62767759360,103079215104,3,6
9,900,2026-01-12T04:22:08.83560787Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,95.60,58.66,83.33,45886,48000,60464037888,103079215104,5,6
9,900,2026-01-12T04:22:08.837679768Z,node.JvECnV95brjeA43d7UkKis,node.4,44.31,25.80,50.00,21267,48000,26599227392,103079215104,3,6
10,1000,2026-01-12T04:22:13.778046539Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,92.66,61.75,0.00,44479,48000,63649611776,103079215104,0,6
10,1000,2026-01-12T04:22:13.77984044Z,node.Y7enFAt94fak68tn2EsaYM,node.2,83.54,51.77,50.00,40098,48000,53359935488,103079215104,3,6
10,1000,2026-01-12T04:22:13.781437113Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,81.62,50.37,83.33,39178,48000,51923386368,103079215104,5,6
10,1000,2026-01-12T04:22:13.783323722Z,node.JvECnV95brjeA43d7UkKis,node.4,63.92,38.17,100.00,30680,48000,39348862976,103079215104,6,6
11,1100,2026-01-12T04:22:19.020764908Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.52,66.14,0.00,46808,48000,68174217216,103079215104,0,6
11,1100,2026-01-12T04:22:19.022780347Z,node.Y7enFAt94fak68tn2EsaYM,node.2,98.71,62.78,50.00,47383,48000,64717062144,103079215104,3,6
11,1100,2026-01-12T04:22:19.024631537Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,79.00,49.52,100.00,37919,48000,51040485376,103079215104,6,6
11,1100,2026-01-12T04:22:19.026690614Z,node.JvECnV95brjeA43d7UkKis,node.4,64.83,40.72,100.00,31117,48000,41978691584,103079215104,6,6
12,1200,2026-01-12T04:22:23.878460831Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.13,61.48,0.00,46623,48000,63370690560,103079215104,0,6
12,1200,2026-01-12T04:22:23.880918055Z,node.JvECnV95brjeA43d7UkKis,node.4,95.39,57.02,33.33,45787,48000,58777927680,103079215104,2,6
12,1200,2026-01-12T04:22:23.883052161Z,node.Y7enFAt94fak68tn2EsaYM,node.2,90.60,57.15,100.00,43490,48000,58912145408,103079215104,6,6
12,1200,2026-01-12T04:22:23.885211498Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,29.10,18.41,33.33,13967,48000,18978177024,103079215104,2,6
13,1300,2026-01-12T04:22:29.227883078Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,97.67,66.68,33.33,46881,48000,68735205376,103079215104,2,6
13,1300,2026-01-12T04:22:29.230087844Z,node.Y7enFAt94fak68tn2EsaYM,node.2,84.16,52.65,100.00,40399,48000,54272196608,103079215104,6,6
13,1300,2026-01-12T04:22:29.231932704Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,24.90,15.04,16.67,11953,48000,15502147584,103079215104,1,6
13,1300,2026-01-12T04:22:29.236090169Z,node.JvECnV95brjeA43d7UkKis,node.4,93.21,58.11,16.67,44743,48000,59897806848,103079215104,1,6
14,1400,2026-01-12T04:22:34.128862711Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,96.92,64.09,50.00,46524,48000,66064482304,103079215104,3,6
14,1400,2026-01-12T04:22:34.13077857Z,node.Y7enFAt94fak68tn2EsaYM,node.2,84.29,56.62,100.00,40460,48000,58361643008,103079215104,6,6
14,1400,2026-01-12T04:22:34.132961187Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,0.00,0.00,0.00,0,48000,0,103079215104,0,6
14,1400,2026-01-12T04:22:34.135082114Z,node.JvECnV95brjeA43d7UkKis,node.4,83.42,51.59,0.00,40043,48000,53175386112,103079215104,0,6
15,1500,2026-01-12T04:22:39.23246761Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,92.17,61.21,50.00,44241,48000,63099109376,103079215104,3,6
15,1500,2026-01-12T04:22:39.234518408Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,0.00,0.00,0.00,0,48000,0,103079215104,0,6
15,1500,2026-01-12T04:22:39.236322689Z,node.JvECnV95brjeA43d7UkKis,node.4,81.80,54.85,0.00,39266,48000,56538169344,103079215104,0,6
15,1500,2026-01-12T04:22:39.237911322Z,node.Y7enFAt94fak68tn2EsaYM,node.2,81.48,48.56,100.00,39111,48000,50054823936,103079215104,6,6
16,1600,2026-01-12T04:22:44.228331016Z,node.a83KJV8fr8gPBC3fwv5Avb,node.1,93.24,57.95,16.67,44755,48000,59735277568,103079215104,1,6
16,1600,2026-01-12T04:22:44.230059878Z,node.JvECnV95brjeA43d7UkKis,node.4,90.47,57.52,0.00,43427,48000,59286487040,103079215104,0,6
16,1600,2026-01-12T04:22:44.231942607Z,node.Y7enFAt94fak68tn2EsaYM,node.2,86.20,54.64,83.33,41375,48000,56324259840,103079215104,5,6
16,1600,2026-01-12T04:22:44.234014775Z,node.Rwk8GopPaY4eVoAocvH9t7,node.3,5.09,2.83,0.00,2442,48000,2919235584,103079215104,0,6
