id,type,status,error,is_timeout,submit_ts,dispatch_ts,deploy_ts,finish_ts,latency_resp_ms,latency_full_ms,node_id,provider_id,is_cross_node
22,medium,success,,false,2026-01-12T04:21:24.377599817Z,2026-01-12T04:21:24.377600997Z,2026-01-12T04:21:24.378637066Z,2026-01-12T04:21:24.378637336Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
23,small,success,,false,2026-01-12T04:21:24.426933682Z,2026-01-12T04:21:24.426934802Z,2026-01-12T04:21:24.427894052Z,2026-01-12T04:21:24.427894252Z,0,0,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.3eqKfSPNwUBxazhP7aCGGg,false
24,medium,success,,false,2026-01-12T04:21:24.477219978Z,2026-01-12T04:21:24.477222088Z,2026-01-12T04:21:24.478374825Z,2026-01-12T04:21:24.478375025Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
25,medium,success,,false,2026-01-12T04:21:24.527468883Z,2026-01-12T04:21:24.527470003Z,2026-01-12T04:21:24.532119943Z,2026-01-12T04:21:24.532120803Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
26,large,success,,false,2026-01-12T04:21:24.576886708Z,2026-01-12T04:21:24.576887578Z,2026-01-12T04:21:24.581816914Z,2026-01-12T04:21:24.581818104Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
27,medium,success,,false,2026-01-12T04:21:24.627753377Z,2026-01-12T04:21:24.627754557Z,2026-01-12T04:21:24.633339076Z,2026-01-12T04:21:24.633339826Z,5,5,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
28,medium,success,,false,2026-01-12T04:21:24.67728657Z,2026-01-12T04:21:24.67728772Z,2026-01-12T04:21:24.678612826Z,2026-01-12T04:21:24.678613026Z,1,1,node.a83KJV8fr8gPBC3fwv5Avb,local.provider.8JPgCzKLtboxAG4Majy5Rr,false
29,small,success,,false,2026-01-12T04:21:24.727361368Z,2026-01-12T04:21:24.727362518Z,2026-01-12T04:21:24.732027677Z,2026-01-12T04:21:24.732028307Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
30,small,success,,false,2026-01-12T04:21:24.777596963Z,2026-01-12T04:21:24.777599743Z,2026-01-12T04:21:24.782346132Z,2026-01-12T04:21:24.782346732Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.JjAPxJagmYruiZtNxY9JHS,true
31,medium,success,,false,2026-01-12T04:21:24.826910659Z,2026-01-12T04:21:24.826911809Z,2026-01-12T04:21:24.831267292Z,2026-01-12T04:21:24.831267782Z,4,4,node.Y7enFAt94fak68tn2EsaYM,provider.AZKvqpmtxidneH5jvVTUVc,true
